id,var_name_Jpn,var_name_Eng
74,家計_タブレット端末所有数量（千世帯当たり）,Household_Tablet_terminal_Ownership_quantity
75,人口・世帯_高齢単身者世帯の割合,pop_Household_Ratio_of_elderly_single_person_households
76,スポーツ総行動率,Sports_Activity_rate
77,スポーツ総行動率-器具を使ったトレーニング,Sports_Activity_Rate_Training_with_Equipment
78,スポーツ行動率−ウォーキング,Sports_Activity_rate_walking
79,旅行・行楽−旅行・行楽・観光総行動率,Travel_Traveling_Tourism_Activity_Rate
80,旅行・行楽−旅行率,Travel_Rate
81,旅行・行楽−行楽率,Traveling_rate
82,旅行・行楽−観光率,Tourism_Rate
83,ボランティア総行動率−総数,Volunteer_Activity_Rate_total
84,ボランティア総行動率−まちづくり活動,Volunteer_town_development
85,ボランティア総行動率−国際協力活動,Volunteer_International_Cooperation
86,ボランティア総行動率−健康や医療サービスに関係した活動,Volunteer_health_and_medical
87,ボランティア総行動率−高齢者を対象とした活動,Volunteer_for_the_Elderly
88,ボランティア総行動率−障害者を対象とした活動,Volunteer_for_Persons_with_Disabilities
89,ボランティア総行動率−子供を対象とした活動,Volunteer_for_Children
90,趣味・娯楽−趣味娯楽総行動率,Hobbies_Total
91,趣味・娯楽−園芸・庭いじり・ガーデニング,Hobbies_Gardening
92,趣味・娯楽−スポーツ観覧,Hobbies_Sports_View
93,趣味・娯楽−読書,Hobbies_Read
94,自己啓発・訓練−学習・自己啓発・訓練率,Self_development_rate
95,自己啓発・訓練−芸術・文化,Self_development_art_culture
96,自己啓発・訓練−英語,Self_development_Eng
97,自己啓発・訓練−英語以外の外国語,Self_development_languages_​​other_than_English
98,自己啓発・訓練−パソコンなどの情報処理,Self_development_PC_etc
99,ボランティア活動−安全な生活のための活動,Volunteer_for_Life_Safe
100,ボランティア活動−自然や環境の活動,Volunteer_environmental_activities
101,ボランティア活動−災害活動,Volunteer_disaster_activities
102,高血圧疾患_入院2014年,Hypertension_Hospitalization_2014
103,高血圧疾患_外来2014年,Hypertension_Outpatient_2014
104,糖尿病_入院2014年,Diabetes_hospitalization_2014
105,糖尿病_外来2014年,Diabetes_Outpatient_2014
106,脳血管疾患_年齢調整死亡率2015,Cerebrovascular_mortality_2015
107,悪性新生物(胃)_年齢調整死亡率2015,Malignant_neoplasm_(stomach)_mortality_rate_2015
108,悪性新生物(大腸)_年齢調整死亡率2015,Malignant_neoplasm_(intestine)_mortality_rate_2015
109,悪性新生物(肝及び肝内胆管)_年齢調整死亡率2015,Malignant_neoplasm_(liver)_mortality_rate_2015
110,悪性新生物(気管、気管支及び肺)_年齢調整死亡率2015,Malignant_neoplasm_(lungs)_mortality_2015
111,悪性新生物(乳房)_年齢調整死亡率2015,Malignant_neoplasm_(breast)_mortality_rate_2015
112,悪性新生物(子宮)_年齢調整死亡率2015,Malignant_neoplasm_(uterus)_mortality_rate_2015
113,心疾患_年齢調整死亡率2015,Heart_dz_mortality_2015
114,肺炎_年齢調整死亡率2015,Pneumonia_mortality_2015
115,急性心筋梗塞_年齢調整死亡率2015,Acute_myocardial_infarction_mortality_2015
116,血圧を下げる薬の使用_回答・はい(40〜64歳)2014,Use_blood_pressure_binary_2014
117,インシュリン注射、血糖を下げる薬の使用_回答・はい(40〜74歳)2014,Use_Insulin_binary_2014
118,コレステロールを下げる薬の使用_回答・はい(40〜74歳)2014,Use_Cholesterol_binary_2014
119,就寝前の2時間以内に夕食_回答・はい(40〜74歳)2014,Eat_within_2_hours_before_sleep_binary_2014
120,日常生活において歩行等の身体活動(1日1時間以上実施)_回答・はい(40〜74歳)2014,Physical_activity_walking_binary_2014
121,軽く汗をかく運動週2回_回答・はい(40〜74歳)2014,Sweat_exercise_twice_a_week_binary_2014
122,"喫煙率(計100本以上,6ヵ月以上&直近1ヵ月)_回答・はい(40〜74歳)2014",Smoking_over_100_binary_2014
123,20歳に比べて10kg体重増加.回答_はい(40〜74歳)2014,Gain_10kg_Wt_compared_to_20yr_binary_2014
124,歩く速度が速い(同年齢と比較).回答_はい(40〜74歳)2014,Fast_Walking_compared_to_the_same_age_binary_2014
125,飲酒日1日当たり2合以上飲む割合(頻度)_回答・はい(40〜74歳)2014,Drinking_2_or_more_per_day_binary_2014
126,毎日酒を飲む割合(頻度)_回答・はい(40〜74歳)2014,Drinking_everyday_binary_2014
127,睡眠休養が十分とれている.回答_はい(40〜74歳)2014,Enough_sleep_binary_2014
128,朝食を抜くことが週3回ある.回答_はい(40〜74歳)2014,Skip_breakfast_three_times_a_week_binary_2014
129,夕食後に間食することが週3回ある.回答_はい(40〜74歳)2014,Snacks_three_times_a_week_after_dinner_binary_2014
130,肉類_2014,Meat_2014
131,魚介類_2014,Seafood_2014
132,牛乳_2014,Milk_2014
133,乳製品_2014,Dairy_2014
134,卵_2014,Egg_2014
135,大豆_2014,Soybean_2014
136,一定のバリアフリー化率手すりの設置_2013,Usual_barrier_free_handrails_2013
137,一定のバリアフリー化率段差のない屋内_2013,Usual_barrier_free_no_steps_2013
138,高度のバリアフリー化率手すりの設置_2013,High_barrier_free_handrails_2013
139,高度のバリアフリー化率段差のない屋内_2013,High_barrier_free_no_steps_2013
140,高度のバリアフリー廊下等が車いすで通行可能な幅_2013,High_barrier_free_wheelchairs_pass_Width
141,総実労働時間_2016,Total_working_hours_2016
142,現金給与総額_2016,Total_salary_2016
143,生鮮肉(世帯数消費支出)_2014,Fish_meat_consumption_2014
144,生鮮肉(世帯数消費支出)_2015,Fish_meat_consumption_2015
145,生鮮肉(世帯数消費支出)_2016,Fish_meat_consumption_2016
146,生鮮肉平均_世帯数消費支出(2014〜2016）,Fish_meat_consumption_avg_2014_2016
147,菓子類(世帯数消費支出)_2014,Confectionery_consumption_2014
148,菓子類(世帯数消費支出)_2015,Confectionery_consumption_2015
149,菓子類(世帯数消費支出)_2016,Confectionery_consumption_2016
150,菓子類平均_世帯数消費支出(2014〜2016）,Confectionery_consumption_avg_2014_2016
151,果物(世帯数消費支出)_2014,Fruits_consumption_2014
152,果物(世帯数消費支出)_2015,Fruits_consumption_2015
153,果物(世帯数消費支出)_2016,Fruits_consumption_2016
154,果物平均_世帯数消費支出(2014〜2016）,Fruit_consumption_avg_2014_2016
155,全国学力・学習状況(公立学校数)(中学校)_2015,Academic_ability_middle_school_2015
156,全国学力・学習状況(公立学校数)(小学生)_2015,Academic_ability_elementary_school_2015
157,う蝕外来総数_2014,Total_Num_of_caries_2014
158,歯周疾患(歯肉炎)外来総数_2014,Total_Num_of_periodontal_2014
159,骨の密度障害_2014,Bone_density_disorder_2014
160,骨折_2014,Fracture_2014
161,歯の補てつ_2014,Tooth_supplement_2014
162,アルツハイマー等(脳血管疾患)_2014,Alzheimer_dz_2014
163,ジニ係数総世帯_2014,Gini_coeff_2014
164,収入ジニ係数勤労世帯_2014,Income_Gini_Coeff_Working_Household_2014
165,野菜摂取量_2012(20歳以上平均値(g/日),Vegetable_intake_2012
166,食塩摂取量_2012(20歳以上平均値(g/日),Salt_intake_2012
167,BMI平均値_2012(男性20〜69歳)(女性40〜69歳)(単位Kg/㎡),BMI_2012
168,歩数_2012(20歳以上平均値(歩/日),Num_Steps_2012_per_day
